username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-09-20 06:09;0;1;"I’m wondering";;;;"910460958379696129";https://twitter.com/Nidhi/status/910460958379696129
;2017-09-20 06:09;0;1;"Wow that would be huge";;;;"910460823629291523";https://twitter.com/Nidhi/status/910460823629291523
;2017-09-20 06:06;1;3;"HIV?";;;;"910460224787537922";https://twitter.com/Nidhi/status/910460224787537922
;2017-09-20 01:04;0;2;"Haha";;;;"910384241451470848";https://twitter.com/Nidhi/status/910384241451470848
;2017-09-20 00:59;109;721;"Twitter’s mute button is a glorious thing";;;;"910383010578522112";https://twitter.com/Nidhi/status/910383010578522112
;2017-09-20 00:54;347;617;"Yet another lie by @Shubhrastha . The FULL video is online, including the exchange she mentions at 21:03. Telling a lie over and over https:// twitter.com/shubhrastha/st atus/910381196986765312 …";;@Shubhrastha;;"910381728753053696";https://twitter.com/Nidhi/status/910381728753053696
;2017-09-20 00:51;2;3;"It’s not the same video, I’ve given a time stamp but she won’t see. Doesn’t suit her agenda";;;;"910380837681561601";https://twitter.com/Nidhi/status/910380837681561601
;2017-09-20 00:29;3;29;"Your own behaviour is far from calm and far from graceful. Am done wasting my time on this. Enjoy your day";;;;"910375464140668929";https://twitter.com/Nidhi/status/910375464140668929
;2017-09-20 00:29;8;21;"I hope you’ll apologise when you see it. Never thought you’d be so unhinged. I’ve always been fair to you. Ridiculous";;;;"910375266295443456";https://twitter.com/Nidhi/status/910375266295443456
;2017-09-20 00:28;31;96;"It starts at 21:03 @Shubhrastha . What a low even for you https:// twitter.com/shubhrastha/st atus/910374331418644480 …";;@Shubhrastha;;"910375035482857475";https://twitter.com/Nidhi/status/910375035482857475
;2017-09-20 00:26;11;52;"There is nothing to “admit”. I already said there was a shorter version of the show for a late night repeat slot. BOTH are online https:// twitter.com/moronhumor/sta tus/910335232330649601 …";;;;"910374584893018112";https://twitter.com/Nidhi/status/910374584893018112
;2017-09-20 00:24;72;230;"Madam please open the link and see. Shouting and getting hysterical won’t help you either. Have better things to do with my day https:// twitter.com/shubhrastha/st atus/910373864332513280 …";;;;"910374007123431424";https://twitter.com/Nidhi/status/910374007123431424
;2017-09-20 00:19;54;146;"Full video is online. You don’t need to shout: http:// m.ndtv.com/video/news/lef t-right-centre/rohingyas-are-they-really-a-security-threat-468107 … https:// twitter.com/shubhrastha/st atus/910339068415709185 …";;;;"910372945389858816";https://twitter.com/Nidhi/status/910372945389858816
;2017-09-20 00:18;20;42;"This is the full video @Shubhrastha . FYI: http:// m.ndtv.com/video/news/lef t-right-centre/rohingyas-are-they-really-a-security-threat-468107 … https:// twitter.com/shubhrastha/st atus/910363838926741505 …";;@Shubhrastha;;"910372653915045889";https://twitter.com/Nidhi/status/910372653915045889
;2017-09-19 21:46;20;74;"Great to see regular updates from @MumbaiPolice on rain situation in Mumbai https:// twitter.com/mumbaipolice/s tatus/910332938281132032 …";;@MumbaiPolice;;"910334377833390080";https://twitter.com/Nidhi/status/910334377833390080
;2017-09-19 21:42;2;6;"No is “concealing” anything. The entire show was LIVE? So how did we conceal?";;;;"910333375113682944";https://twitter.com/Nidhi/status/910333375113682944
;2017-09-19 21:37;16;106;"Assuming there is a conspiracy in everything isn’t healthy. https:// twitter.com/shubhrastha/st atus/910331409897635840 …";;;;"910331992792645632";https://twitter.com/Nidhi/status/910331992792645632
;2017-09-19 21:36;23;48;"It’s not”strategically truncated”. There are two versions of the show. One was shortened for a night repeat; the full version is also there https:// twitter.com/shubhrastha/st atus/910331409897635840 …";;;;"910331688831541248";https://twitter.com/Nidhi/status/910331688831541248
;2017-09-19 21:19;18;95;"The entire debate is online. I have sent you the link. Now please watch it and don’t make a blanket statement. Over and out https:// twitter.com/shubhrastha/st atus/910326847086276609 …";;;;"910327464601063424";https://twitter.com/Nidhi/status/910327464601063424
;2017-09-19 21:17;5;17;"Open the link , it’s there. I have just watched the whole debate myself online";;;;"910326897854234624";https://twitter.com/Nidhi/status/910326897854234624
;2017-09-19 21:13;34;96;"The full debate is online here. Your comments are totally over the top. Chill : http:// m.ndtv.com/video/news/lef t-right-centre/rohingyas-are-they-really-a-security-threat-468107 … https:// twitter.com/shubhrastha/st atus/910209827590123521 …";;;;"910325927657086976";https://twitter.com/Nidhi/status/910325927657086976
;2017-09-19 21:10;17;58;"Dear @RajatSethi86 the full debate is online here. No deleting. Perhaps it would be wise not to jump to conclusions: http:// m.ndtv.com/video/news/lef t-right-centre/rohingyas-are-they-really-a-security-threat-468107 … https:// twitter.com/rajatsethi86/s tatus/910215778145755137 …";;@RajatSethi86;;"910325367323246592";https://twitter.com/Nidhi/status/910325367323246592
;2017-09-19 07:28;91;336;"At 8pm:are the Rohingyas really a security threat? What's the truth? And is the India growth story over or are economic worries exaggerated?";;;;"910118330115043329";https://twitter.com/Nidhi/status/910118330115043329
;2017-09-19 05:26;1;5;"Alphonso is a mango";;;;"910087631219724288";https://twitter.com/Nidhi/status/910087631219724288
;2017-09-18 22:48;121;319;"Unbelievable https:// twitter.com/ani/status/909 986565841084416 …";;;;"909987455557758976";https://twitter.com/Nidhi/status/909987455557758976
;2017-09-18 09:02;45;142;"At 8pm: Amit Shah's testimony for Maya Kodnani. An eye on the Gujarat polls? And an exclusive with @anandmahindra @sidpatankar";;@anandmahindra @sidpatankar;;"909779565366542336";https://twitter.com/Nidhi/status/909779565366542336
;2017-09-18 08:52;0;1;"Agree! Yuck";;;;"909777060817657856";https://twitter.com/Nidhi/status/909777060817657856
;2017-09-18 08:43;1;2;"I love ours !";;;;"909774979750805504";https://twitter.com/Nidhi/status/909774979750805504
;2017-09-18 01:06;2;30;"All the best to one of the finest reporters";;;;"909659871468912640";https://twitter.com/Nidhi/status/909659871468912640
;2017-09-18 00:54;0;1;"Yes similar";;;;"909656795664179200";https://twitter.com/Nidhi/status/909656795664179200
;2017-09-17 12:44;51;152;"Shameful how congress trolls are justifying this. Time to block https:// twitter.com/jasuja/status/ 909472998196789248 …";;;;"909473182762991616";https://twitter.com/Nidhi/status/909473182762991616
;2017-09-17 12:36;0;10;"He says that word is not gross and no big deal. If it isn't, does he speak like that in front her? That's the point. He wouldn't";;;;"909471042908729344";https://twitter.com/Nidhi/status/909471042908729344
;2017-09-17 12:19;46;182;"I'm sure you speak like that in front of your mother, since it's not gross . https:// twitter.com/scepticindian/ status/909465748283650048 …";;;;"909466958176727040";https://twitter.com/Nidhi/status/909466958176727040
;2017-09-17 12:13;3;9;"Umm no genius. That's another word.";;;;"909465437817073665";https://twitter.com/Nidhi/status/909465437817073665
;2017-09-17 12:09;18;101;"Absolutely. CC North Korean TV https:// twitter.com/entedamonos/st atus/909464254331236352 …";;;;"909464456182337537";https://twitter.com/Nidhi/status/909464456182337537
;2017-09-17 12:06;35;175;"Yes yes it's motivated. I've joined the BJP. What a twit https:// twitter.com/gauravpandhi/s tatus/909462854180286464 …";;;;"909463580872814592";https://twitter.com/Nidhi/status/909463580872814592
;2017-09-17 12:01;43;182;"No it's not but if you want to take a high moral ground on abuse, then it can't be "my abuse is better than yours". Take a stand https:// twitter.com/mayur_jha/stat us/909459975012966400 …";;;;"909462271113302019";https://twitter.com/Nidhi/status/909462271113302019
